"","Gene","logFC","pvalues"
"ENSG00000259828","ENSG00000259828",NA,0.296970319155601
"ENSG00000280411","ENSG00000280411",NA,0.314591818653923
"ENSG00000146276","ENSG00000146276",NA,0.40476477091801
"ENSG00000055957","ENSG00000055957",NA,0.255579909937907
"ENSG00000287372","ENSG00000287372",NA,0.325704018793488
"ENSG00000253819","ENSG00000253819",NA,0.285227147625087
"ENSG00000160180","ENSG00000160180",NA,0.166882812959899
"ENSG00000134160","ENSG00000134160",NA,0.329368686793129
"ENSG00000181617","ENSG00000181617",NA,0.378626898738098
"ENSG00000181541","ENSG00000181541",NA,0.381204831493964
"ENSG00000172482","ENSG00000172482",NA,0.375469463204223
"ENSG00000184350","ENSG00000184350",NA,0.156359847914589
"ENSG00000118231","ENSG00000118231",NA,0.0795561637890864
"ENSG00000240476","ENSG00000240476",NA,0.407638285191979
"ENSG00000099937","ENSG00000099937",NA,0.262628412274678
"ENSG00000120937","ENSG00000120937",NA,0.334306651526094
"ENSG00000163825","ENSG00000163825",NA,0.372877392742571
"ENSG00000226690","ENSG00000226690",NA,0.347197340052545
"ENSG00000123977","ENSG00000123977",NA,0.354507866887313
"ENSG00000185640","ENSG00000185640",NA,0.390432091643839
"ENSG00000254092","ENSG00000254092",NA,0.016611092322735
"ENSG00000211946","ENSG00000211946",NA,0.389524495134319
"ENSG00000205002","ENSG00000205002",NA,0.380540286641775
"ENSG00000271824","ENSG00000271824",NA,0.320613862178083
"ENSG00000211935","ENSG00000211935",NA,0.461742598239496
"ENSG00000248874","ENSG00000248874",NA,0.377140022651366
"ENSG00000158639","ENSG00000158639",NA,0.389703490047127
"ENSG00000113722","ENSG00000113722",NA,0.360159781832718
"ENSG00000182111","ENSG00000182111",NA,0.415786864487576
"ENSG00000223350","ENSG00000223350",NA,0.389040788521031
"ENSG00000169550","ENSG00000169550",NA,0.373900966300059
"ENSG00000211637","ENSG00000211637",NA,0.411401235798808
"ENSG00000260135","ENSG00000260135",NA,0.191724614340157
"ENSG00000163751","ENSG00000163751",NA,0.161575705142545
"ENSG00000286404","ENSG00000286404",NA,0.103087040304531
"ENSG00000064195","ENSG00000064195",NA,0.352842894898591
"ENSG00000171345","ENSG00000171345",NA,0.355462170201116
"ENSG00000138395","ENSG00000138395",NA,0.198960119638912
"ENSG00000287872","ENSG00000287872",NA,0.253504919642422
"ENSG00000264345","ENSG00000264345",NA,0.282913175136933
"ENSG00000267448","ENSG00000267448",NA,0.364569121313783
"ENSG00000224594","ENSG00000224594",NA,0.41122892488259
"ENSG00000211976","ENSG00000211976",NA,0.406470349585962
"ENSG00000288525","ENSG00000288525",NA,0.303364364440401
"ENSG00000259518","ENSG00000259518",NA,0.241169436493161
"ENSG00000172236","ENSG00000172236",NA,0.0270955053654152
"ENSG00000214145","ENSG00000214145",NA,0.309936944822468
"ENSG00000143512","ENSG00000143512",NA,0.23449643935114
"ENSG00000197253","ENSG00000197253",NA,0.0252998751085168
"ENSG00000250748","ENSG00000250748",NA,0.386399625994686
"ENSG00000233560","ENSG00000233560",NA,0.361691756902158
"ENSG00000073282","ENSG00000073282",NA,0.257381551323295
"ENSG00000204894","ENSG00000204894",NA,0.449151262696409
"ENSG00000253998","ENSG00000253998",NA,0.378644234213112
"ENSG00000222022","ENSG00000222022",NA,0.376797380914824
"ENSG00000224063","ENSG00000224063",NA,0.322274757847734
"ENSG00000145040","ENSG00000145040",NA,0.364921774427861
"ENSG00000135374","ENSG00000135374",NA,0.400433001476567
"ENSG00000229056","ENSG00000229056",NA,0.348225816461397
"ENSG00000186973","ENSG00000186973",NA,0.253096474500541
"ENSG00000214285","ENSG00000214285",NA,0.175400176573844
"ENSG00000248475","ENSG00000248475",NA,0.372452270410219
"ENSG00000179300","ENSG00000179300",NA,0.380122858193021
"ENSG00000223812","ENSG00000223812",NA,0.118440022942487
"ENSG00000117322","ENSG00000117322",NA,0.382052968615236
"ENSG00000198074","ENSG00000198074",NA,0.390907669559104
"ENSG00000243238","ENSG00000243238",NA,0.422397048607053
"ENSG00000164458","ENSG00000164458",NA,0.338810303968078
"ENSG00000172116","ENSG00000172116",NA,0.0487977091305039
"ENSG00000283787","ENSG00000283787",NA,0.24889853696799
"ENSG00000039537","ENSG00000039537",NA,0.0865837395407086
"ENSG00000118156","ENSG00000118156",NA,0.241148439105053
"ENSG00000254337","ENSG00000254337",NA,0.370092172066391
"ENSG00000211964","ENSG00000211964",NA,0.439248498901554
"ENSG00000130427","ENSG00000130427",NA,0.226434438340242
"ENSG00000251372","ENSG00000251372",NA,0.29958481521955
"ENSG00000163792","ENSG00000163792",NA,0.194950084646924
"ENSG00000197587","ENSG00000197587",NA,0.170874181311327
"ENSG00000249001","ENSG00000249001",NA,0.168054625222111
"ENSG00000211670","ENSG00000211670",NA,0.36070272741458
"ENSG00000278196","ENSG00000278196",NA,0.39233271183699
"ENSG00000111981","ENSG00000111981",NA,0.272910450962928
"ENSG00000196616","ENSG00000196616",NA,0.408223780663075
"ENSG00000275874","ENSG00000275874",NA,0.352069817912172
"ENSG00000243290","ENSG00000243290",NA,0.288344709970884
"ENSG00000034239","ENSG00000034239",NA,0.391970331258145
"ENSG00000211966","ENSG00000211966",NA,0.325041203380109
"ENSG00000242766","ENSG00000242766",NA,0.180804849838111
"ENSG00000198573","ENSG00000198573",NA,0.371187216829377
"ENSG00000269404","ENSG00000269404",NA,0.324388972255314
"ENSG00000117215","ENSG00000117215",NA,0.343090019684828
"ENSG00000140798","ENSG00000140798",NA,0.30486243120215
"ENSG00000162598","ENSG00000162598",NA,0.0170232740306519
"ENSG00000256193","ENSG00000256193",NA,0.0413213097471562
"ENSG00000225684","ENSG00000225684",NA,0.259542361942119
"ENSG00000272763","ENSG00000272763",NA,0.354911732216098
"ENSG00000197614","ENSG00000197614",NA,0.194652952280772
"ENSG00000222032","ENSG00000222032",NA,0.370750558634963
"ENSG00000228314","ENSG00000228314",NA,0.379727703210838
"ENSG00000173077","ENSG00000173077",NA,0.267676175626014
"ENSG00000140459","ENSG00000140459",NA,0.0675119360086087
"ENSG00000160183","ENSG00000160183",NA,0.0454186023234642
"ENSG00000151882","ENSG00000151882",NA,0.258822474624942
"ENSG00000106128","ENSG00000106128",NA,0.376219856411167
"ENSG00000231817","ENSG00000231817",NA,0.202162310491685
